Frame,Timestamp_sec,YOLO_Inference_ms,YOLO_Objects,YOLO_Speed_objs_per_ms,MP_Inference_ms,MP_Objects,MP_Speed_objs_per_ms
5,0.16683333333333333,871.2129592895508,17,0.019513024707372366,871.5128898620605,10,0.011474299595939147
10,0.33366666666666667,241.06979370117188,14,0.058074467916765564,241.3020133972168,10,0.041441842358516105
15,0.5005000000000001,222.31197357177734,14,0.062974566,222.40424156188965,9,0.040466854
20,0.6673333333333333,186.15984916687012,13,0.069832459,186.34700775146484,11,0.059029657265390306
25,0.8341666666666667,239.09497261047363,15,0.062736576,239.24970626831055,8,0.033437868
30,1.0010000000000001,188.61699104309082,17,0.090129738,188.90023231506348,8,0.042350398
35,1.1678333333333333,183.0909252166748,15,0.081926507,183.27093124389648,8,0.043651221422308484
40,1.3346666666666667,179.24118041992188,13,0.072527976,179.4259548187256,8,0.044586637468823374
45,1.5015,173.36678504943848,15,0.086521764,173.44093322753906,10,0.057656516
50,1.6683333333333334,182.00397491455078,15,0.082415782,182.0838451385498,10,0.054919754096750754
55,1.8351666666666666,193.21084022521973,15,0.077635396,193.30191612243652,11,0.056905799076676776
60,2.0020000000000002,188.31467628479004,18,0.09558469,188.41075897216797,11,0.058383078
65,2.168833333333333,175.2791404724121,19,0.10839852334277328,175.37403106689453,10,0.057020985029337716
70,2.3356666666666666,180.4950237,17,0.094185422,180.99093437194824,9,0.049726248
75,2.5025,183.1660270690918,14,0.076433388,183.2590103149414,12,0.065481091
80,2.6693333333333333,175.28986930847168,14,0.079867707,175.37689208984375,12,0.068424066
85,2.8361666666666667,181.04195594787598,18,0.099424467,181.20598793029785,12,0.066222977
90,3.003,179.8717975616455,16,0.088952244,179.95476722717285,16,0.088911232
95,3.1698333333333335,179.0328025817871,18,0.10054023475266274,179.25572395324707,11,0.061364847
100,3.336666666666667,181.75578117370605,19,0.10453587708355469,181.84423446655273,10,0.054992120202960494
105,3.5035000000000003,181.0770034790039,18,0.099405223,181.1692714691162,11,0.060716698
110,3.6703333333333332,175.54283142089844,19,0.10823569294290215,175.63199996948242,9,0.051243509
115,3.8371666666666666,222.92304039001465,17,0.076259502,223.01483154296875,11,0.049324073757312445
120,4.0040000000000004,187.31021881103516,18,0.096097266,187.4089241027832,12,0.064031102
125,4.170833333333333,191.03193283081055,21,0.10992926516949851,191.45584106445312,11,0.057454502
130,4.337666666666666,181.09679222106934,21,0.11596008820722115,181.19502067565918,11,0.060708070006460634
135,4.5045,172.7740765,17,0.098394391,172.85799980163574,12,0.069421143
140,4.671333333333333,179.1539192199707,15,0.083726887,179.2619228363037,10,0.055784295079394426
145,4.838166666666667,173.94042015075684,14,0.08048733,174.0279197692871,9,0.05171584
150,5.005,180.62996864318848,14,0.077506518,180.71699142456055,13,0.071935682
155,5.171833333333334,173.62308502197266,14,0.080634439,173.7082004547119,11,0.063324587
160,5.338666666666667,173.6428737640381,15,0.086384196,173.72894287109375,11,0.063317026
165,5.5055000000000005,172.3940372467041,18,0.10441196393725115,172.48201370239258,13,0.075370178
170,5.6723333333333334,175.59194564819336,18,0.10251039666741799,175.76289176940918,13,0.07396328
175,5.839166666666666,175.1880645751953,19,0.1084548770264238,175.45199394226074,12,0.068394777
180,6.006,193.00079345703125,17,0.088082539,193.09020042419434,13,0.067326047
185,6.172833333333333,171.9360352,17,0.098873979,172.01614379882812,13,0.075574302
190,6.339666666666667,174.35097694396973,18,0.10324002948251082,174.44300651550293,12,0.068790376
195,6.5065,177.00695991516113,17,0.096041421,177.09779739379883,12,0.067759171
200,6.673333333333334,182.30175971984863,16,0.087766569,182.37781524658203,12,0.065797476
205,6.840166666666667,172.61886596679688,15,0.086896643,173.10404777526855,13,0.075099342
210,7.007000000000001,176.98216438293457,17,0.096054877,177.06918716430664,12,0.06777012
215,7.1738333333333335,178.23004722595215,16,0.08977162,178.4501075744629,11,0.061641879
220,7.3406666666666665,175.01091957092285,18,0.10285072522406542,175.0950813293457,12,0.068534192
225,7.5075,177.6440143585205,18,0.10132623981167452,177.73914337158203,14,0.078767118
230,7.674333333333333,176.63216590881348,16,0.090583728,176.71990394592285,12,0.067904066
235,7.841166666666667,178.42769622802734,21,0.11769473262246452,178.5271167755127,13,0.07281807
240,8.008000000000001,172.5180149078369,20,0.11592992193125141,172.61123657226562,14,0.081107118
245,8.174833333333334,176.4049530029297,18,0.1020379512796393,176.49292945861816,16,0.09065519
250,8.341666666666667,172.20568656921387,18,0.10452616495196482,172.29390144348145,13,0.075452468
255,8.5085,177.73890495300293,18,0.10127214413051264,177.8271198272705,13,0.07310471
260,8.675333333333333,177.81400680541992,15,0.084357809,177.92582511901855,12,0.067443835
265,8.842166666666667,176.4819622039795,15,0.084994522,176.56874656677246,12,0.067962197
270,9.009,172.99485206604004,18,0.10404933895448275,173.10070991516113,11,0.063546822
275,9.175833333333333,175.68111419677734,18,0.10245836658252586,175.77290534973145,10,0.05689159
280,9.342666666666666,171.9191074371338,15,0.087250337,172.00708389282227,10,0.05813714
285,9.509500000000001,172.09911346435547,17,0.098780288,172.18494415283203,10,0.058077087
290,9.676333333333334,175.33206939697266,14,0.079848484,175.42195320129395,13,0.07410703
295,9.843166666666667,172.38092422485352,16,0.092817695,172.46007919311523,11,0.063782877
300,10.01,174.96609687805176,17,0.09716168,175.05407333374023,12,0.068550247
305,10.176833333333333,172.37567901611328,16,0.092820519,172.58286476135254,13,0.075326134
310,10.343666666666667,172.71971702575684,18,0.10421508505201957,172.80888557434082,13,0.075227613
315,10.5105,174.5128631591797,17,0.097414023,174.65996742248535,12,0.068704925
320,10.677333333333333,175.1728057861328,16,0.091338378,175.25982856750488,12,0.068469769
325,10.844166666666666,174.36695098876953,16,0.091760508,174.44610595703125,10,0.057324295
330,11.011000000000001,174.75414276123047,18,0.10300185000245575,174.84092712402344,12,0.068633816
335,11.177833333333334,174.44586753845215,16,0.091718997,174.59368705749512,11,0.063003423
340,11.344666666666667,173.3109951019287,20,0.11539948742569667,173.41279983520508,12,0.069199044
345,11.5115,173.80380630493164,17,0.097811437,173.89273643493652,12,0.069008058
350,11.678333333333333,175.69398880004883,14,0.079684001,175.77290534973145,10,0.05689159
355,11.845166666666668,172.6059913635254,17,0.098490208,173.01201820373535,12,0.069359343
360,12.012,175.13775825500488,15,0.085646865,175.2169132232666,11,0.062779328
365,12.178833333333333,194.61774826049805,19,0.097627273,194.70477104187012,12,0.061631771711538955
370,12.345666666666666,175.11606216430664,19,0.10849947038080845,175.2018928527832,12,0.068492411
375,12.512500000000001,174.98207092285156,18,0.10286768184345059,175.06694793701172,11,0.062833105
380,12.679333333333334,173.33292961120605,17,0.098077152,173.41899871826172,9,0.051897428001077855
385,12.846166666666667,172.90401458740234,16,0.092536891,172.9898452758789,11,0.063587547
390,13.013,173.80404472351074,14,0.080550484,174.0128993988037,14,0.080453806
395,13.179833333333333,174.9260425567627,17,0.097183928,175.00615119934082,13,0.074283103
400,13.346666666666668,174.89886283874512,17,0.097199031,175.0049591064453,10,0.057141238
405,13.5135,174.48806762695312,17,0.097427866,174.57294464111328,9,0.051554380425341294
410,13.680333333333333,173.6612319946289,14,0.080616726,173.74801635742188,9,0.051799152523766656
415,13.847166666666666,185.0111484527588,13,0.070266036,185.09697914123535,8,0.043220586511548226
420,14.014000000000001,226.99904441833496,16,0.070484878,227.0817756652832,11,0.048440699
425,14.180833333333334,177.77180671691895,13,0.073127456,177.86502838134766,12,0.067466888
430,14.347666666666667,184.2789649963379,13,0.070545219,184.3712329864502,10,0.054238396
435,14.5145,176.6808032989502,15,0.084898867,176.7709255218506,13,0.073541506
440,14.681333333333333,172.32894897460938,14,0.081239978,172.41668701171875,13,0.075398734
445,14.848166666666668,205.62386512756348,16,0.07781198,205.7170867919922,14,0.068054629
450,15.015,184.20791625976562,14,0.076001077,184.30709838867188,15,0.081385905
