Frame,Timestamp_sec,YOLO_Inference_ms,YOLO_Objects,YOLO_Speed_objs_per_ms,MP_Inference_ms,MP_Objects,MP_Speed_objs_per_ms
2,0.06673333333333334,924.7901439666748,14,0.015138569643433068,924.9999523162842,9,0.009729730231296963
4,0.13346666666666668,243.25108528137207,13,0.053442721478355215,243.41917037963867,10,0.04108139874276916
6,0.20020000000000002,251.1739730834961,13,0.051756954912197436,251.2800693511963,11,0.04377585547632941
8,0.26693333333333336,241.51992797851562,13,0.05382578617345569,241.69182777404785,11,0.04551250284839439
10,0.33366666666666667,250.48542022705078,14,0.05589147658697978,250.5791187286377,10,0.03990755514959491
12,0.40040000000000003,235.98217964172363,15,0.06356412176026818,236.0849380493164,12,0.05082916385582077
14,0.46713333333333334,247.17211723327637,12,0.04854916539261031,247.33781814575195,10,0.040430533733046725
16,0.5338666666666667,269.9849605560303,12,0.0444469202109857,270.16305923461914,11,0.04071615131677648
18,0.6006,249.93085861206055,12,0.04801327881894826,250.0309944152832,10,0.03999504150829689
20,0.6673333333333333,258.2879066467285,13,0.05033143118768104,258.39877128601074,11,0.04256986186604023
22,0.7340666666666666,252.8986930847168,14,0.055358135027254715,252.9911994934082,11,0.04347977329656722
24,0.8008000000000001,264.50085639953613,16,0.06049129752469134,264.69993591308594,9,0.03400076380432198
26,0.8675333333333334,261.944055557251,17,0.06489935403891786,262.04705238342285,8,0.030528868488451967
28,0.9342666666666667,315.9370422363281,16,0.05064300117120054,316.0369396209717,8,0.025313496610853567
30,1.0010000000000001,257.62319564819336,17,0.06598784692980426,257.71379470825195,8,0.031042187745737467
32,1.0677333333333334,262.2957229614258,14,0.05337486956300425,262.45975494384766,8,0.030480863634546836
34,1.1344666666666667,255.60975074768066,12,0.04694656586808195,255.85412979125977,8,0.03126781657394724
36,1.2012,290.18211364746094,12,0.04135334135231598,290.27795791625977,8,0.027559791509584285
38,1.2679333333333334,253.98015975952148,14,0.055122415913336525,254.09913063049316,9,0.03541924751048304
40,1.3346666666666667,263.7748718261719,13,0.04928445196465501,263.87524604797363,8,0.030317356856374343
42,1.4014,254.65893745422363,14,0.054975490512743454,254.93097305297852,8,0.03138104367701715
44,1.4681333333333333,244.71497535705566,16,0.06538218585378733,244.89593505859375,9,0.03675030374778031
46,1.5348666666666666,249.25994873046875,15,0.060178139634538275,249.40085411071777,11,0.044105703002591624
48,1.6016000000000001,252.791166305542,16,0.06329335092612066,252.89297103881836,11,0.04349666167001348
50,1.6683333333333334,244.29702758789062,15,0.06140066519885698,244.4751262664795,10,0.04090395678577106
52,1.7350666666666668,250.53691864013672,18,0.07184569882035881,250.64516067504883,11,0.043886743994475313
54,1.8018,251.2969970703125,16,0.06366968243366325,251.42240524291992,11,0.043751072977652856
56,1.8685333333333334,250.21004676818848,15,0.059949631094937665,250.31495094299316,11,0.0439446383788124
58,1.9352666666666667,266.22700691223145,18,0.06761147266300507,266.4811611175537,12,0.045031325853111245
60,2.0020000000000002,243.25299263000488,18,0.0739970341387682,243.36004257202148,11,0.04520051806263385
62,2.0687333333333333,283.37574005126953,19,0.06704878828569602,283.4780216217041,11,0.038803713730863006
64,2.135466666666667,308.4108829498291,19,0.06160612692481035,308.5060119628906,11,0.0356557070963115
66,2.2022,388.6251449584961,19,0.048890300194109,388.7360095977783,10,0.025724398442909652
68,2.2689333333333335,267.55380630493164,17,0.06353862138901908,267.657995223999,11,0.041097221813958
70,2.3356666666666666,254.43100929260254,17,0.06681575507350812,254.53615188598633,9,0.03535843507224602
72,2.4024,292.47522354125977,17,0.058124581611275504,292.5701141357422,11,0.03759782516575288
